Description,label,variable,distribution,lower,median,upper,,,
All variables in relation to a ha/yr scale ====,,,,,,,,,
,coeff. Variation,var_CV,posnorm,5,,20,,,
,Discount rate (%),discount_rate,posnorm,1,,5,,,
,Duration of simulation (years),n_years,const,10,,10,,,
,,,,,,,,,
General variables ====,,,,,,,,,
,Market prices for banana (USD/kg),prior_market_price,posnorm,0.1,,0.5,,,
,Baseline yield in a normal season without any implementation of any measur(kg/ha/yr),prior_yield,posnorm,20000,,60000,,,
,Prior production costs banana production (USD/ha/yr),prior_cost,posnorm,2000,,10000,,,
,,,,,,,,,
1. Land-use diversification ====,,,,,,,,,
,Prior for the normal costs related to diversifying land use (USD/yr),base_diversify_cost,posnorm,10,,300,,,
1a Buffer zone ====,,,,,,,,,
,Risk of wind event (%),wind_event_risk,tnorm_0_1,0.05,,0.3,,,
,Yield lost to wind in a normal year (%),normal_wind_damage,tnorm_0_1,0.1,,0.5,,,
,Wind damage avoided through measure implementation (%),reduction_wind_damage_buffer,tnorm_0_1,0.1,,0.8,,,
,Relative reduction in yield due to measure implementation (%),yield_lost_for_buffer,tnorm_0_1,0.02,,0.08,,,
,Relative increase in baseline cost due to measure implementation,cost_buffer,tnorm_0_1,0.01,,0.05,,,
,Relative impact of the measure on soil quality,soil_quality_buffer,posnorm,10,,80,,,
,Relative impact of the measure on water quality,water_quality_buffer,posnorm,20,,80,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_buffer,posnorm,5,,80,,,
1b Conversion of unproductive land  ====,,,,,,,,,
,Relative increase in yield due to measure implementation (%),yield_conversion,tnorm_0_1,0.01,,0.05,,,
,Relative added benefit due to the measure implementation (%),added_benefit_conversion,tnorm_0_1,0.01,,0.05,,,
,Relative increase in baseline cost due to measure implementation,cost_conversion,tnorm_0_1,0.01,,0.05,,,
,Relative impact of the measure on soil quality,soil_quality_conversion,posnorm,5,,10,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_conversion,posnorm,5,,60,,,
,,,,,,,,,
2. Energy use  ====,,,,,,,,,
,Prior for the normal costs related to energy use and management (USD/yr),base_energy_cost,posnorm,20,,1000,,,
2a Energy use plan ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_energy_use_plan,tnorm_0_1,0.001,,0.005,,,
,Relative energy saved due to measure implementation,energy_saved_use_plan,tnorm_0_1,0.001,,0.005,,,
,Relative increase in energy efficiency due to measure implementation,increase_efficiency_energy_use_plan,tnorm_0_1,0.001,,0.005,,,
,Relative fossil fuel consumption saved due to measure implementation,reduced_fossil_fuel_consumption_energy_use_plan,tnorm_0_1,0.001,,0.005,,,
2b Energy equipment ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_energy_equipment,tnorm_0_1,0.01,,0.2,,,
,Relative energy saved due to measure implementation,energy_saved_energy_equipment,tnorm_0_1,0.02,,0.2,,,
,Relative increase in energy efficiency due to measure implementation,increase_efficiency_energy_equipment,tnorm_0_1,0.02,,0.2,,,
,Relative fossil fuel consumption saved due to measure implementation,reduced_fossil_fuel_consumption_energy_equipment,tnorm_0_1,0.02,,0.2,,,
2c Solar energy ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_solar_energy,tnorm_0_1,0.001,,0.04,,,
,Relative energy saved due to measure implementation,energy_saved_solar_energy,tnorm_0_1,0.01,,0.04,,,
,Relative increase in energy efficiency due to measure implementation,increase_efficiency_solar_energy,const,0,,0,,,
,Relative fossil fuel consumption saved due to measure implementation,reduced_fossil_fuel_consumption_solar_energy,tnorm_0_1,0.05,,0.25,,,
2d Other renewable energy sources ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_other_energy,tnorm_0_1,0.01,,0.04,,,
,Relative energy saved due to measure implementation,energy_saved_other_energy,tnorm_0_1,0.01,,0.04,,,
,Relative increase in energy efficiency due to measure implementation,increase_efficiency_other_energy,const,0,,0,,,
,Relative fossil fuel consumption saved due to measure implementation,reduced_fossil_fuel_consumption_other_energy,tnorm_0_1,0.2,,0.6,,,
,,,,,,,,,
3. Water use ====,,,,,,,,,
,Prior for the normal costs related to water use and management (USD/yr),base_water_cost,posnorm,20,,1000,,,
3a Wastewater reuse ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_waste_water_use,tnorm_0_1,0.01,,0.1,,,
